tempo,temp,h,vazao,vazaoideal,tempideal+
1,-5.319308177178269,2.158158475531111,0.012521980673998822,0.084, 57.0
2,13.356046264719252,2.7896645954398656,0.013007675598723975,0.084, 57.0
3,25.079957492528187,3.417979292939942,0.014788837151124678,0.084, 57.0
4,33.03189923143498,4.036151890885667,0.016369776313880757,0.084, 57.0
5,38.80917166448078,4.648090328544755,0.01778860051396501,0.084, 57.0
6,43.207900113772816,5.255754975563127,0.019089533303826702,0.084, 57.0
7,45.99079900775544,5.757600733428438,0.020299044068235062,0.084, 57.0
8,47.925548621698404,6.191598103206493,0.021246079579555134,0.084, 57.0
9,49.40062991698957,6.5872252114928855,0.02203227839537684,0.084, 57.0
10,50.57864593446011,6.956501481404749,0.022725282321261538,0.084, 57.0
11,51.54672474143485,7.3058141293788985,0.023353580370943816,0.084, 57.0
12,52.35812023531384,7.639101267706109,0.023932735483920463,0.084, 57.0
13,53.0502967754669,7.959566420187345,0.024472546646970746,0.084, 57.0
14,53.65112411943205,8.270052439009369,0.02498059261392107,0.084, 57.0
15,54.175283270017275,8.571295903299209,0.02546315202833959,0.084, 57.0
16,54.6346080371824,8.863973162381264,0.02592276217571457,0.084, 57.0
17,55.03872227932209,9.14844639636098,0.02636162923513437,0.084, 57.0
18,55.395597074414205,9.425359805690894,0.026781303132497138,0.084, 57.0
19,55.71182509500874,9.695308849785505,0.027183601835778975,0.084, 57.0
20,55.99289913494828,9.95884219175007,0.027570132640652705,0.084, 57.0
21,56.24342937845826,10.21646533796726,0.027942319657344228,0.084, 57.0
22,56.46730974050073,10.468643379059571,0.028301428983297527,0.084, 57.0
23,56.667847869291,10.715803754999913,0.02864858881198637,0.084, 57.0
24,56.847869801454806,10.958339614257286,0.028984806612982486,0.084, 57.0
25,57.00980078743277,11.196611864829164,0.029310984728558188,0.084, 57.0
26,57.154397829641816,11.43181182560723,0.029627932263366043,0.084, 57.0
27,57.266201147430756,11.675976653185884,0.029937502352861817,0.084, 57.0
28,57.34838741357807,11.928442333678241,0.030255521307850135,0.084, 57.0
29,57.39670346580877,12.191024034465197,0.0305808743982309,0.084, 57.0
30,57.41523112429646,12.462962364806094,0.03091563171442679,0.084, 57.0
31,57.41892776011295,12.739711302276104,0.03125853882382856,0.084, 57.0
32,57.41939188364876,13.017514639613687,0.03160369228584607,0.084, 57.0
33,57.4194503884324,13.29542942148625,0.03194641056121506,0.084, 57.0
34,57.41945869285812,13.573334737393886,0.032285626316435646,0.084, 57.0
35,57.41946001249763,13.85121582972285,0.03262130352103792,0.084, 57.0
36,57.41946024398008,14.12907087959151,0.032953532755233876,0.084, 57.0
37,57.41946028826498,14.406899827209124,0.03328241513111653,0.084, 57.0
38,57.41946029741461,14.684702874992482,0.03360804883436698,0.084, 57.0
39,57.41946029943976,14.962480263470695,0.033930527632198865,0.084, 57.0
40,57.419460299916736,15.24023223445447,0.03424994091463667,0.084, 57.0
41,57.41946030003561,15.517959024641328,0.0345663739374154,0.084, 57.0
42,57.419460300066795,15.795660864609669,0.03487990807803083,0.084, 57.0
43,57.41946030007538,16.07333797883252,0.035190621077005706,0.084, 57.0
44,57.41946030007784,16.350990585887686,0.035498587261192094,0.084, 57.0
45,57.41946030007857,16.62861889869841,0.03580387774995321,0.084, 57.0
